country,happiness_score,gdp_per_capita,family,health,freedom,government_trust,generosity,dystopia_residual,continent,year,rank
Burundi,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404,Africa,2019,138
Togo,3.303,0.28123,0,0.24811,0.34678,0.11587,0.17517,2.1354,Africa,2019,137
Afghanistan,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558,Asia,2019,136
Benin,3.484,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812,Africa,2019,135
Rwanda,3.515,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819,Africa,2019,134
Guinea,3.607,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,South America,2019,133
Liberia,3.622,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,2.23284,Africa,2019,132
Tanzania,3.666,0.47155,0.77623,0.357,0.3176,0.05099,0.31472,1.37769,Africa,2019,131
Madagascar,3.695,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,2.15075,Africa,2019,130
Yemen,3.724,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821,1.97295,Asia,2019,129
Denmark,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939,Europe,2019,1
Switzerland,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,Europe,2019,2
Iceland,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,Europe,2019,3
Norway,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,Europe,2019,4
Finland,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,Europe,2019,5
Canada,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485,North America,2019,6
Netherlands,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,Europe,2019,7
New Zealand,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553,Australia,2019,8
Australia,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,Australia,2019,9
Sweden,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,Europe,2019,10
Finland,7.808700085,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2.762835026,Europe,2020,1
Denmark,7.645599842,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688,Europe,2020,2
Switzerland,7.559899807,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741,Europe,2020,3
Iceland,7.504499912,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114,Europe,2020,4
Norway,7.487999916,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296,Europe,2020,5
Netherlands,7.448900223,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,2.352117062,Europe,2020,6
Sweden,7.353499889,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267,Europe,2020,7
New Zealand,7.299600124,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025,Australia,2020,8
Austria,7.294199944,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083,Europe,2020,9
Luxembourg,7.237500191,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,2.153700352,Europe,2020,10
Afghanistan,2.566900015,0.30070585,0.356433839,0.266051531,0,0.135234714,0.001225785,1.507235646,Asia,2020,138
Zimbabwe,3.299200058,0.425564021,1.047835231,0.375037611,0.37740472,0.151349187,0.080928579,0.841031075,Africa,2020,137
Rwanda,3.312299967,0.343242675,0.522876322,0.572383285,0.604087889,0.235704988,0.485542476,0.548444986,Africa,2020,136
Tanzania,3.476200104,0.457163125,0.872674644,0.442677855,0.509343088,0.27154091,0.203880861,0.718963385,Africa,2020,135
Botswana,3.478899956,0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,0.101786368,0.257240534,Africa,2020,134
Yemen,3.527400017,0.392701775,1.177477121,0.41500017,0.243721485,0.094689012,0.087352127,1.116472721,Asia,2020,133
Malawi,3.538000107,0.176534727,0.53036809,0.446163297,0.487389833,0.213185057,0.131633952,1.552718282,Africa,2020,132
India,3.573299885,0.730576158,0.644198656,0.54057014,0.581142247,0.237072483,0.105587982,0.734130859,Asia,2020,131
Haiti,3.720799923,0.284734428,0.646671355,0.37436673,0.169297516,0.463909656,0.161935672,1.619916916,South America,2020,130
Zambia,3.759399891,0.536833763,0.896037281,0.36359334,0.49131754,0.250620902,0.086705238,1.134339333,Africa,2020,129
