country,happiness_score,gdp_per_capita,family,health,freedom,government_trust,generosity,dystopia_residual,continent,year,rank
Finland,7.80870009,1.28518951,1.49952591,0.96127141,0.66231674,0.15967044,0.47785726,2.76283503,Europe,2020,1
Denmark,7.64559984,1.32694852,1.5034492,0.97933257,0.6650399,0.2427934,0.49526033,2.43274069,Europe,2020,2
Switzerland,7.55989981,1.39077425,1.47240341,1.04053319,0.62895447,0.26905575,0.4079459,2.35026741,Europe,2020,3
Iceland,7.50449991,1.32650161,1.54756749,1.00084341,0.66198075,0.36233023,0.14454077,2.46068811,Europe,2020,4
Norway,7.48799992,1.42420733,1.4951725,1.0080719,0.67020088,0.28798509,0.43410057,2.1682663,Europe,2020,5
Netherlands,7.44890022,1.33894634,1.46364594,0.97567534,0.61362648,0.33631757,0.36856976,2.35211706,Europe,2020,6
Sweden,7.35349989,1.32223523,1.4333477,0.98647046,0.6502977,0.27282789,0.44206637,2.24629927,Europe,2020,7
New Zealand,7.29960012,1.24231792,1.48721838,1.0081383,0.64678991,0.32572621,0.46126828,2.12810803,Australia,2020,8
Austria,7.29419994,1.31728554,1.43744493,1.00093353,0.60336888,0.25550976,0.28125614,2.39844608,Europe,2020,9
Luxembourg,7.23750019,1.53667605,1.38752842,0.98644269,0.61013705,0.19595392,0.36704147,2.15370035,Europe,2020,10
Canada,7.23210001,1.30164766,1.4353919,1.02250195,0.64402813,0.28152892,0.35170186,2.19526911,North America,2020,11
Australia,7.22279978,1.31039643,1.47714627,1.02260768,0.62187719,0.32497361,0.33599642,2.12980413,Australia,2020,12
United Kingdom,7.16450024,1.27306104,1.45784497,0.97570008,0.52516866,0.37343344,0.32260165,2.23672199,Europe,2020,13
Israel,7.12860012,1.21646369,1.40325677,1.00805295,0.42069948,0.2668618,0.09989845,2.7133584,Asia,2020,14
Costa Rica,7.12139988,0.98110771,1.37485361,0.93963534,0.64501774,0.13126631,0.09636209,2.95313501,South America,2020,15
Ireland,7.09369993,1.44688678,1.47059643,0.9756707,0.58777994,0.295427,0.37343326,1.94387817,Europe,2020,16
Germany,7.07579994,1.31418455,1.36854374,0.9721148,0.56427413,0.2520377,0.30936229,2.29524946,Europe,2020,17
United States of America,6.93959999,1.37398684,1.40478671,0.83161801,0.53460825,0.29814306,0.15228474,2.34412479,North America,2020,18
Czech Republic,6.91090012,1.21232235,1.40528667,0.89456445,0.50574458,0.04632593,0.04980322,2.79680824,Europe,2020,19
Belgium,6.86350012,1.29584277,1.39867759,0.96490115,0.49980542,0.14696616,0.20872405,2.34862661,Europe,2020,20
United Arab Emirates,6.7908001,1.43108642,1.25117099,0.78781444,0.6529361,0.28065598,0.22021352,2.16696596,Asia,2020,21
Malta,6.77279997,1.25251329,1.44295692,0.97204202,0.63323903,0.34118083,0.17886408,1.95201206,Europe,2020,22
France,6.66379976,1.26812935,1.45883918,1.02971423,0.5140509,0.1126077,0.22730324,2.05319834,Europe,2020,23
Mexico,6.46500015,1.02438748,1.2263335,0.83160102,0.55389255,0.08309449,0.08313367,2.6625402,North America,2020,24
Uruguay,6.44010019,1.07100046,1.42508113,0.85692889,0.59426707,0.13214369,0.19342507,2.16727638,South America,2020,25
Saudi Arabia,6.40649986,1.33432853,1.30995011,0.75981814,0.54847747,0.08744068,0.16332232,2.2031188,Asia,2020,26
Spain,6.40089989,1.23053527,1.42109919,1.05134308,0.42598382,0.16530548,0.10957978,1.99708843,Europe,2020,27
Guatemala,6.39890003,0.75381571,1.17426705,0.70595259,0.61314672,0.17061167,0.0983603,2.88272309,South America,2020,28
Italy,6.38740015,1.23639607,1.347296,1.02250493,0.32130557,0.17026621,0.0401456,2.249506,Europe,2020,29
Singapore,6.37709999,1.51958013,1.39545691,1.13781428,0.63531721,0.21877091,0.53316224,0.93703175,Asia,2020,30
Brazil,6.37559986,0.95267987,1.36346412,0.76611906,0.48329273,0.13167459,0.1065186,2.57186031,South America,2020,31
Slovenia,6.36339998,1.2086525,1.46467769,0.93254805,0.64670014,0.1457015,0.07651632,1.88858652,Europe,2020,32
El Salvador,6.34829998,0.74894041,1.14939761,0.75273001,0.52404392,0.1189363,0.11703035,2.93719173,South America,2020,33
Kosovo,6.32520008,0.84048134,1.18396282,0.67270917,0.55728042,0.32528687,0.00855902,2.73690271,Europe,2020,34
Panama,6.30480003,1.09766781,1.3761493,0.87854654,0.57984978,0.09720731,0.05423053,2.22117615,South America,2020,35
Slovakia,6.28060007,1.19483769,1.42433119,0.85346526,0.42354253,0.11672977,0.01129144,2.25642204,Europe,2020,36
Uzbekistan,6.25759983,0.69665295,1.43402004,0.71670371,0.69327033,0.36331102,0.28026027,2.07334662,Asia,2020,37
Chile,6.22849989,1.09699249,1.32328689,0.88926083,0.41748223,0.155579,0.06284935,2.28301287,South America,2020,38
Bahrain,6.22730017,1.29669225,1.31532371,0.83883637,0.6103999,0.28745371,0.12669726,1.75191736,Asia,2020,39
Lithuania,6.21549988,1.19355965,1.43286574,0.79542118,0.42046079,0.05369104,0.08135027,2.23814607,Europe,2020,40
Poland,6.1862998,1.16922915,1.31039977,0.86803848,0.55790353,0.06337424,0.16054125,2.05679798,Europe,2020,41
Colombia,6.16340017,0.93220371,1.33445096,0.81002015,0.52689004,0.09237409,0.04584837,2.42165661,South America,2020,42
Cyprus,6.15899992,1.21279943,1.14917076,1.0261246,0.45938587,0.22793233,0.05120714,2.03233481,Asia,2020,43
Nicaragua,6.13710022,0.62003315,1.27081275,0.80309326,0.5601173,0.21287148,0.17408457,2.49608111,South America,2020,44
Romania,6.12370014,1.12040162,1.1944381,0.79229486,0.53485233,0.06818162,0.00082957,2.41274977,Europe,2020,45
Kuwait,6.1020999,1.42483366,1.24477983,0.77646893,0.57026142,0.13275109,0.11281493,1.840168,Asia,2020,46
Mauritius,6.10129976,1.07366395,1.39566684,0.76338941,0.59083813,0.18689455,0.08408823,2.00672054,Africa,2020,47
Kazakhstan,6.05789995,1.12259424,1.45326769,0.69878894,0.49743214,0.15371379,0.11046369,2.02160263,Asia,2020,48
Estonia,6.02180004,1.19244123,1.45323253,0.84261501,0.57666481,0.12513675,0.20176682,1.62992811,Europe,2020,49
Philippines,6.00600004,0.77512068,1.24538171,0.60218948,0.62191516,0.12926021,0.13038573,2.50174189,Asia,2020,50
Hungary,6.00040007,1.16430712,1.4230094,0.80679387,0.3864018,0.07049124,0.02754817,2.12184572,Europe,2020,51
Thailand,5.9987998,1.0070293,1.34751952,0.79385585,0.6094498,0.37670901,0.03183786,1.83238411,Asia,2020,52
Argentina,5.97469997,1.02846563,1.37254369,0.84977371,0.52084035,0.07010047,0.06041506,2.072541,South America,2020,53
Honduras,5.95319986,0.59876359,1.1866641,0.79198998,0.56814808,0.2565282,0.0868071,2.46429539,South America,2020,54
Latvia,5.94999981,1.14139545,1.41439879,0.77790242,0.32919881,0.07540795,0.09039152,2.12128305,Europe,2020,55
Ecuador,5.92519999,0.8533836,1.22102761,0.83883774,0.55523455,0.11500648,0.08675338,2.25493383,South America,2020,56
Portugal,5.91090012,1.16880083,1.33953035,0.97931528,0.58989519,0.05303695,0.02773347,1.75255871,Europe,2020,57
Jamaica,5.88980007,0.7790584,1.40828919,0.78843409,0.55312461,0.11626849,0.03014779,2.21443653,South America,2020,58
South Korea,5.87239981,1.24530065,1.13356054,1.0225426,0.25935635,0.17030387,0.09459628,1.94675708,Asia,2020,59
Japan,5.87080002,1.26672411,1.33233869,1.07288134,0.49546588,0.03571178,0.18143964,1.48620033,Asia,2020,60
Peru,5.79680014,0.91854918,1.20840597,0.82444418,0.51321006,0.09161182,0.02703266,2.21349955,South America,2020,61
Serbia,5.77820015,0.98818183,1.32744896,0.82840329,0.39542842,0.15028289,0.05944715,2.0290401,Europe,2020,62
Bolivia,5.74749994,0.73097634,1.14235055,0.66244566,0.5744645,0.13837507,0.07294264,2.42592859,South America,2020,63
Pakistan,5.69329977,0.61679947,0.87297958,0.46993324,0.40542173,0.22870506,0.12259212,2.97687674,Asia,2020,64
Paraguay,5.69210005,0.89799082,1.36819756,0.73586965,0.58651006,0.20429924,0.06507738,1.83412528,South America,2020,65
Dominican Republic,5.68919992,0.98319185,1.32888889,0.7419017,0.5628739,0.11219678,0.11594568,1.84424686,South America,2020,66
Bosnia and Herzegovina,5.67409992,0.91839546,1.20398653,0.81392819,0.30536574,0.26400524,0.00117249,2.16724205,Europe,2020,67
Moldova,5.60750008,0.7079168,1.2373122,0.71329945,0.38957149,0.17404918,0.01437874,2.37096834,Europe,2020,68
Tajikistan,5.55569983,0.47487462,1.21837771,0.6805948,0.52114117,0.18241713,0.22177991,2.25650835,Asia,2020,69
Montenegro,5.54610014,1.01015008,1.2656579,0.8390289,0.30322385,0.14901033,0.09843511,1.88056588,Europe,2020,70
Russia,5.546,1.12699962,1.37864411,0.68044591,0.3994996,0.09904192,0.04569936,1.81571674,Europe,2020,71
Kyrgyzstan,5.54150009,0.51318097,1.34103668,0.68064588,0.61461777,0.30137074,0.03046669,2.06020665,Asia,2020,72
Belarus,5.53989983,1.0188545,1.38713932,0.75258857,0.29075587,0.08993306,0.19360744,1.8069911,Europe,2020,73
Greece,5.51499987,1.12807012,1.16897357,0.97943175,0.17351635,0,0.04884435,2.01617909,Europe,2020,74
Croatia,5.50470018,1.10902429,1.31126487,0.90057558,0.38145688,0.11399898,0.01232501,1.67602921,Europe,2020,75
Libya,5.48880005,1.02191377,1.1962837,0.61562663,0.45135406,0.1427577,0.17225808,1.88856316,Africa,2020,76
Mongolia,5.45620012,0.90487278,1.45893061,0.61578816,0.35570312,0.26388574,0.04653313,1.81052756,Asia,2020,77
Malaysia,5.38430023,1.16842163,1.17400229,0.78851187,0.59694153,0.27488616,0.06216313,1.31942082,Asia,2020,78
Vietnam,5.35349989,0.71809238,1.25307477,0.819134,0.65083557,0.13648872,0.08984846,1.68597794,Asia,2020,79
Indonesia,5.28560019,0.89172071,1.15480089,0.61043704,0.56816143,0.54264653,0.03827861,1.47957349,Asia,2020,80
Ivory Coast,5.23330021,0.53709441,0.79972726,0.15494251,0.39712253,0.16991559,0.09349579,3.0810225,Africa,2020,81
Benin,5.21600008,0.3662447,0.35242844,0.32806295,0.40583989,0.19667043,0.12593187,3.44080973,Africa,2020,82
Congo (Brazzaville),5.19439983,0.63361675,0.75763601,0.45810112,0.3865144,0.11721601,0.11867078,2.72261953,Africa,2020,83
Azerbaijan,5.16480017,0.9902727,1.18061304,0.73113406,0.46773472,0.04011321,0.24730718,1.50763297,Asia,2020,84
Ghana,5.14799976,0.57586247,0.96636796,0.43216226,0.47729006,0.26129121,0.05657038,2.37843728,Africa,2020,85
Nepal,5.13719988,0.44405037,1.10078931,0.66887939,0.48060826,0.30097181,0.12750296,2.01438689,Asia,2020,86
Turkey,5.13180018,1.12716925,1.19715917,0.78133529,0.25440076,0.08588557,0.12098324,1.56481671,Asia,2020,87
China,5.12389994,0.99053341,1.13208067,0.86724854,0.60160512,0.07902104,0.11725555,1.33618188,Asia,2020,88
Turkmenistan,5.11910009,1.00896359,1.51047695,0.61244804,0.51523668,0.32312933,0.03350389,1.11533737,Asia,2020,89
Bulgaria,5.10150003,1.04655469,1.46057892,0.7777769,0.41782007,0.10383371,0,1.29496145,Europe,2020,90
Morocco,5.0948,0.75862211,0.64520848,0.74509692,0.45005414,0.04003255,0.0773856,2.37840247,Africa,2020,91
Cameroon,5.0848999,0.50395805,0.89972645,0.27018955,0.43924248,0.1980201,0.05439342,2.71937084,Africa,2020,92
Venezuela,5.05319977,0.77023864,1.34854686,0.76702553,0.27171722,0.08717915,0.06362478,1.74484086,South America,2020,93
Algeria,5.00509977,0.943856,1.14300358,0.74541855,0.0839438,0.11891501,0.12919065,1.84081173,Africa,2020,94
Senegal,4.98080015,0.50406182,0.95459342,0.51839191,0.3524009,0.16439714,0.08186594,2.40512395,Africa,2020,95
Guinea,4.94929981,0.39000773,0.75136596,0.33365524,0.37187806,0.24949084,0.11220456,2.74072981,South America,2020,96
Niger,4.90959978,0.10833033,0.70380014,0.29881635,0.43531162,0.2081769,0.13755477,3.01763058,Africa,2020,97
Albania,4.88269997,0.90665305,0.83048391,0.84632963,0.46194589,0.17102777,0.02536129,1.64089704,Europe,2020,98
Cambodia,4.84840012,0.54463494,1.07142603,0.58790433,0.67494035,0.23334208,0.0728375,1.66330004,Asia,2020,99
Bangladesh,4.83279991,0.55615628,0.86880058,0.69494051,0.60413057,0.17674512,0.17673591,1.7552619,Asia,2020,100
Gabon,4.82929993,0.98804438,1.10639751,0.52257484,0.3694599,0.0520136,0.05580454,1.73502755,Africa,2020,101
South Africa,4.81409979,0.90214044,1.25908625,0.40703407,0.43478182,0.12640685,0.05950214,1.6251173,Africa,2020,102
Iraq,4.78480005,0.98201871,1.01146662,0.5293507,0.28358805,0.15300207,0.07316499,1.75217366,Asia,2020,103
Lebanon,4.77150011,0.88923252,1.19249332,0.78867114,0.18551667,0.15852414,0.02151815,1.53554225,Asia,2020,104
Burkina Faso,4.76870012,0.30246764,0.9293859,0.31283388,0.32239816,0.18639061,0.12640806,2.58882642,Africa,2020,105
Mali,4.72930002,0.35246265,0.97314173,0.23498152,0.37753445,0.16966705,0.06214628,2.55933523,Africa,2020,106
Nigeria,4.72410011,0.64590186,0.98671794,0.16783594,0.43507946,0.22132812,0.04758994,2.21963549,Africa,2020,107
Armenia,4.67679977,0.80826241,1.03457689,0.77585727,0.37807581,0.10722574,0.10461818,1.46816158,Asia,2020,108
Georgia,4.67259979,0.84719807,0.7311939,0.69465762,0.48549411,0.04760974,0.17408808,1.69239831,Asia,2020,109
